Name,Module,Release No,Dependencies,Description,Supported,From field: Dependencies,Created
Shesha.Core-0.43.13,Shesha.Core,0.43.13,,Fixed Data Table 'Customize Columns' JS Option,,"Shesha.Enterprise-5.0.0,Shesha.Enterprise-3.0.2,Shesha.Enterprise-3.0.3,Shesha.Enterprise-2.5.11,Shesha.Enterprise-2.5.12,Shesha.Enterprise-2.5.13,Boxfusion.PublicPortal-0.8.5,BoxStack-24,BoxStack-23,BoxStack-22",2025-10-17 9:23am
Shesha.Core-0.43.12,Shesha.Core,0.43.12,,"Added onChange event for Radio buttons, warning message for delete action for File and FileList, options for DataTable filtration using DateTime, Edit/Delete Notes only by author. Fixed reordering in DataTable, time picker fix",,"Shesha.Enterprise-3.0.1,Shesha.Enterprise-2.5.10,Boxfusion.PublicPortal-0.8.4,BoxStack-21",2025-10-17 9:23am
Shesha.Core-0.43.11,Shesha.Core,0.43.11,,GenericEntityReferences support for JsonEntity. Fixed support of custom column names in SoftDelete filter for one-to-may relations,,"Shesha.Enterprise-3.0.0,Shesha.Enterprise-2.5.7,Shesha.Enterprise-2.5.8,Shesha.Enterprise-2.5.9,Boxfusion.PublicPortal-0.8.3,BoxStack-20",2025-10-17 9:23am
Shesha.Core-0.43.10,Shesha.Core,0.43.10,,Added property to allow custom endpoint when reordering DataTable rows. Additional variable to the property Custom Visibility on the DataTable. Exposed DateWrapper component. Autocomplete fix,,"Shesha.Enterprise-2.5.5,Boxfusion.PublicPortal-0.8.2,BoxStack-19",2025-10-17 9:23am
Shesha.Core-0.43.7,Shesha.Core,0.43.7,,"Added the event On Row Deleted on DataTable and DataList components
Custom buttons on the modal form doesn't take into account JS code
Fixed maximum number is 0 validation
",,"Shesha.Enterprise-2.5.4,Boxfusion.PublicPortal-0.8.1",2025-10-17 9:23am
Shesha.Core-0.43.6,Shesha.Core,0.43.6,,Buttons group fixes,,"Shesha.Enterprise-2.5.3,Shesha.Enterprise-2.5.1,Shesha.Enterprise-2.5.0,Shesha.Enterprise-2.5.2,Boxfusion.PublicPortal-0.8.0,BoxStack-17",2025-10-17 9:23am
Shesha.Core-0.41.13,Shesha.Core,0.41.13,,Fixed Handle Succes/Fail on Modal Form Submit,,"Boxfusion.PublicPortal-0.7.12,Shesha.Enterprise-2.4.21,boxfusion.devexpressreporting-2.5.18,BoxStack-31",2025-11-26 3:21pm
Shesha.Core-0.41.12,Shesha.Core,0.41.12,,Blacklisting and configurable expiration time for access tokens,,"Shesha.Enterprise-2.4.20,Boxfusion.PublicPortal-0.7.11,BoxStack-30,boxfusion.devexpressreporting-2.5.17",2025-11-18 9:23am
Shesha.Core-0.41.11,Shesha.Core,0.41.11,,Added property to allow custom endpoint when reordering DataTable rows. Fixed Autocomplete component breaks when using URL Data Source,,"Shesha.Enterprise-2.4.19,Shesha.Enterprise-2.4.17,Shesha.Enterprise-2.4.18,Boxfusion.PublicPortal-0.7.10,BoxStack-25,BoxStack-18",2025-10-17 9:23am
Shesha.Core-0.41.10,Shesha.Core,0.41.10,,Added On Row Delete event for DataTable and DataList components,,"Shesha.Enterprise-2.4.16,Boxfusion.PublicPortal-0.7.9,BoxStack-16",2025-10-17 9:23am
